gene_symbol,entrez_id,marker_annotation,expression_level,V1_pattern,V2_pattern
CLCA4,22802,NA,-,none,none
CLCN1,1180,NA,+,ubiquitous,ubiquitous
CLCN2,1181,NA,++++,scattered,scattered
CLCN3,1182,NA,+++,ubiquitous,ubiquitous
CLCN4,1183,NA,+++,ubiquitous,ubiquitous
CLCN5,1184,NA,-,none,none
CLCN6,1185,NA,++,ubiquitous,ubiquitous
CLCN7,1186,NA,+++,ubiquitous,ubiquitous
CLCNKA,1187,NA,-,none,none
CLCNKB,1188,NA,+,ubiquitous,ubiquitous
CLDN5,7122,vascular endothelial cell,+++++,VEC,VEC
CLIC1,1192,NA,+++,scattered+VEC,scattered+VEC
CLIC2,1193,NA,-,none,none
CLIC3,9022,NA,+++++,ubiquitous,ubiquitous
CLIC4,25932,NA,+,sparse to none,sparse to none
CLIC5,53405,NA,+,sparse to none,sparse to none
CLIC6,54102,NA,-,none,none
CLN8,2055,NA,+,ubiquitous,ubiquitous
CLNS1A,1207,NA,+,ubiquitous,ubiquitous
CLOCK,9575,NA,++,ubiquitous,ubiquitous
CNGA1,1259,NA,-,none,none
CNGA2,1260,NA,-,none,none
CNGA4,1262,NA,-,none,none
CNGB3,54714,NA,-,none,none
CNP,1267,oligodendrocyte,+++++,ubiquitous+oligodendrocyte,ubiquitous+oligodendrocyte
CNR1,1268,interneuron,+++++,"scattered(1,2+)","scattered(1,2+)"
CNR1,1268,interneuron,+++++,"scattered(1,2+)","scattered(1,2+)"
CNR1,1268,interneuron,+++++,"scattered(1,2+)","scattered(1,2+)"
CNR1,1268,interneuron,+++++,"scattered(1,2+)","scattered(1,2+)"
CNR1,1268,layer 1,+++++,"scattered(1,2+)","scattered(1,2+)"
CNR1,1268,layer 1,+++++,"scattered(1,2+)","scattered(1,2+)"
CNR1,1268,layer 1,+++++,"scattered(1,2+)","scattered(1,2+)"
CNR1,1268,layer 1,+++++,"scattered(1,2+)","scattered(1,2+)"
CNR1,1268,layer 2,+++++,"scattered(1,2+)","scattered(1,2+)"
CNR1,1268,layer 2,+++++,"scattered(1,2+)","scattered(1,2+)"
CNR1,1268,layer 2,+++++,"scattered(1,2+)","scattered(1,2+)"
CNR1,1268,layer 2,+++++,"scattered(1,2+)","scattered(1,2+)"
CNR1,1268,layer 6,+++++,"scattered(1,2+)","scattered(1,2+)"
CNR1,1268,layer 6,+++++,"scattered(1,2+)","scattered(1,2+)"
